Linneweber, V.
Mueller-Wohlfeil, D.-I.
Arnold, J.
Srinivasan, R.
Niehoff, D.
Strobl, B.
Steidl, J.
Dannowski, R.
Schenk, R.
Wolters, V.
Pflug, A.
Taylor, A. R.
Schroeter, D.
Dauber, J.
Ekschmitt, K.
Baxter, R.
Campbell, C.
Ceulemans, R.
Günther, K.
Hector, H.
Henning, F.
Kjøller, A.
Matouch, S.
Molau, U.
Nagy, P.
Otte, A.
Pausas, J.
Sillence, G.
Steiner, N.
Struwe, S.
Wookey, P.
Breitung, W.
Chan, C.
Dorofeev, S. B.
Eder, A.
Gelfand, B. E.
Heitsch, M.
Malliakos, A.
Shepherd, J. E.
Studer, E.
Thibault, P.
Helling, C.
Oevermann, M.
Luettke, M. J. H.
Sedlmayr, E.
Coe, I.
Grönig, H.
He, L.
Olivier, H.
Rehm, W.
Vendel, J.
Owinoh, A.
Schmidt, H.
Berger, M.
Goodman, J.
Bárdossy, A.
Held, Hermann
Schweizer, W.
Shugart, H. H.
Noble, I. R.
Foley, J. A.
Gardner, R. H.
Pitelka, L. F.
Sutherst, S. W.
Heil Costa,  M.
Scurlock, J. M. O.
Parton, W. J.
Shugart, H.
Gardner, B.
Pitelka, L.
Smith, M. S.
Sykes, M. T.
Fosberg, M. A.
Fleming, R.
Gill, A. M.
Goldammer, J. G.
Keane, R.
Koehler, P.
Lenihan, J.
Neilson, R. P.
Weber, M. G.
McIntyre, S.
Titz, S.
Feudel, U.
Jaeger, C. C.
Feng, G.
Schaaf, C. B.
Strahler, A. H.
Strugnell, N. C.
Strahler, A.
Barnsley, M.
Liang, S.
McCloy, K. R.
Zhang, X.
Hobson, P.
Roberts, G.
Dunderdale, M.
Doll, C.
Adeline, M.T.
Cornic, G.
Deléens, E.
Rosati, A.
DeJong, T.M.
Schulz-Baldes, M.
Tyson, P.
et al. (including Schellnhuber,  H.-J.)
Kossacki, K.J.
Garrido, I.
Eisenack, K.
Haussels, R.
Ebenhöh, W.
Van Eijndhoven,  J.
Mwandosya, M.
Carraro, C.
Christensen, J.
Edmonds, J.
Flannery, B.
Gay-Garcia, C.
Lee, H.
Meyer-Abich, K.M.
Nikitina, E.
Rahman, A.
Ruqiu, Y.
Villavicencio, A.
Wake, Y.
Weyant, J.
Byrne, J.
Lempert, R.
Meyer, I.
Ahmad, Q.K.
Downing, T.E.
Nishioka, S.
Parikh, K.S.
Parmesan, C.
Schneider, S.H.
Warrick, R.A.
Kokott, J.
Beese, F.O.
Klemmer, P.
Kruse-Graumann, L.
Neumann, C.
Tilzer, M.
Velsinger, P.
Fairbrass, J.
O'Riordan, T.
Ipsen, D.
Rösch, R.
Scheffran, J.
Ackermann, H.
Krämer, M.
Melsheimer, O.
Hagen, R.
Kulessa, M.
Luther, J.
Nuscheler, F.
Sauerborn, R.
Schubert, R.
Olsson, J.
Calver, A.
Gannon, B.
Eggers, T.
Sonntag, M.
Hamidovic, D.
Buchori, D.
Ardhian, D.
Price, D. T.
Zimmermann, N. E.
van der Meer,  P. J.
Lexer, M. J.
Leadley, P.
Jorritsma, I. T. M.
Clark, D. F.
McNulty, S.
Wu, J.
Luterbacher, U.
Weiß, M.
Spiecker, H.
Kahle, H.-P.
Abs, C.
Sohngen, B.
Joyce, L. A.
Bernier, P. Y.
Schlott, W.
Lenton, T. M.
Laitat, E.
Loustau, D.
Rosa, E.A.
Webler, T.
Swartling, A.G.
Tabara, D.
Gassmann, F.
Lienin, S.F.
Wokaun, A.
Higginson, S.
Prommer, I.
Schwandt, D.
Budhakooncharoen, S.
Lettenmaier, D.
Warrick, R.
Downing, T.
Parmesan, F.
Schneider, S.
Wasson, R.J.
Mysak, L.A.
Weaver, A.J.
Crucifix, M.
Fichefet, T.
Loutre, M.-F.
Weber, S.L.
Alexeev, V.A.
Berger, A.
Goosse, H.
Lohman, G.
Lunkeit, F.
Stone, P.
Wang, Zh.
Moosbruger, V.
Negendank, J.F.W.
Cubasch, U.
Hense, A.
Miller, H.
Sarntheim, M.
von Storch,  H.
Pahl-Wostl, C.
Davies, H.
Kates, R. W.
Clark, W. C.
Corell, R.
Hall, J. M.
Lowe, J.
McCarthy, J. J.
Dickson, N. M.
Faucheux, S.
Gallopin, G. C.
Grübler, A.
Nuschler, F.
Beese, Friedrich O.
Felsinger, P.
Klememr, P.
Hofmann, M.
Bendtsen, J.
Andreev, A.
(in co-operation with Becker,  D.
Ballerstedt, K.)
Siebenhüner, B.
Gupta, A.
Brohm, R.
Dingwerth, K.
Kartschall, Th.
Pinter, P. J. Jr.
Kimball, B. A.
Hunsaker, D. J.
Wall, G. W.
Garcia, R. L.
LaMorte, R. L.
Fabian, P.
Winterhalter, M.
Rappenglück, B.
Reitmayer, H.
Stohl, A.
Schlager, H.
Foken, T.
Wichura, B.
Berresheim, H.
Häberle, K.-H.
Schwarzkopf, J.
Suda, M.
Bartelheimer, P.
Bonk, S.
Dieter, M.
Döbbeler, H.
Dursky, J.
Duschl, C.
Fabrika, M.
Frömdling, D.
Gundermann, E.
Hennig, P.
Hölzer, W.
Leischner, B.
Liesebach, M.
Pommerening, A
Vjushin, D.
Govindan, R.B.
Brenner, S.
Smith, J.B.
Mirza, M.M.Q.
Böhm, F.
Trabold, H.
Pattberg, P.
Myneni, R. B.
Friedlingstein, P.
Bousquet, P.
Buermann, W.
Easterling, W.
Jallow, B.
Antle, J.
Apps, M.
Beamish, R.
Chapin, T.
Frangi, J.
Laine, J.
Erda, L.
Magnuson, J.
Price, J.
Prowse, T.
Root, T.
Sirotenko, O.
Soussana, J.
Holten, J. I.
Kaczmarek, Z.
Martens, P.
ï¿½quist, M.
Rounsevell, M. D. A.
Szolgay, J.
Schimel, D. S.
House, J. I.
Hibbard, K. A.
Peylin, P.
Braswell, B. H.
Apps, M. J.
Baker, D.
Denning, A. S.
Field, C. B.
Goodale, C
Arneth, A.
Kaplan, J. O.
Leonhardt, H.
Adrian, R.
Mohr, S.
Ting, L.
Tcherkez, G.
Noguï¿½s, S.
Bleton, J.
Everink, C.
