id,label,id_prop_instance_of,id_prop_publication_type,id_prop_author,id_prop_editor,id_prop_publisher,id_prop_place_of_publication,id_prop_series,id_prop_pages,id_prop_title,id_prop_issue,id_prop_volume,id_prop_publication_date,id_prop_reference_URL,id_prop_keyword,id_prop_journal,id_prop_conference
id_work_5225,Impact of Machine-Driven Capacity Constellations on Performance and Dynamics of Job-Shop Systems,id_base_work,id_type_article_in_book,id_creator_18270;id_creator_18271;id_creator_36846;id_creator_18273,id_creator_40667,id_publisher_36,id_place_31,,611-616,Enabling Manufacturing Competitiveness and Economic Sustainability,,,2012,http://www.springerlink.com/content/978-3-642-23859-8/#section=964747&page=1,,,
id_work_5226,"Node-weighted measures for complex networks with spatially embedded, sampled, or differently sized nodes",id_base_work,id_type_isi_article,id_creator_41648;id_creator_36848;id_creator_36845;id_creator_41863;id_creator_41659,,,,,,,,,2011 (Accepted),,,id_journal_748,
id_work_5227,An alternative to a global climate deal may be unfolding before our eyes,id_base_work,id_type_isi_article,id_creator_40402;id_creator_40400;id_creator_40399;id_creator_40401;id_creator_40404;id_creator_40398;id_creator_40403,,,,,1-4,,1,4,2012,,,id_journal_664,
id_work_5228,Electricity for Growth and Jobs in Tunisia: Exploring the Nuclear and Renewable Electricity Options,id_base_work,id_type_article_in_book,id_creator_40403;id_creator_40402;id_creator_40401;id_creator_40400,id_creator_40774;id_creator_40775,id_publisher_37,id_place_406,id_series_617,,"Tunisia: Economic, Political and Social Issues",,,2011 (In press),,,,
id_work_5229,Energy security and renewable electricity trade – Will Desertec make Europe vulnerable to the “energy weapon”?,id_base_work,id_type_isi_article,id_creator_40402;id_creator_33210,,,,,3380-3391,,6,39,2011,,,id_journal_708,
id_work_5230,Vulnerability and risk: comparing assessment approaches,id_base_work,id_type_isi_article,id_creator_21182,,,,,1099-1113,,3,61,2012,,,id_journal_269,
id_work_5231,Interaction-induced stabilization of circular Rydberg atoms,id_base_work,id_type_isi_article,id_creator_35372;id_creator_18294;id_creator_18295,,,,,,,063402,84,2011,,,id_journal_749,
id_work_5232,Desert power for the people - sustainable development by DESERTEC?,id_base_work,id_type_other_article,id_creator_33633;id_creator_18297;id_creator_18298;id_creator_41876,,,,,,,4,29,2011,http://www.wissenschaft-und-frieden.de/seite.php?artikelID=1751,id_keyword_1416,id_journal_321,
id_work_5233,"Climate change and agricultural vulnerability: a case study of rain-fed wheat in Kairouan, Central Tunisia",id_base_work,id_type_isi_article,id_creator_18300;id_creator_18301;id_creator_18302;id_creator_18303;id_creator_40400,,,,,137-142,,Suppl. 1,11,2011,,,id_journal_293,
id_work_5234,A new approach to quantifying and comparing vulnerability to drought,id_base_work,id_type_isi_article,id_creator_34727;id_creator_35396;id_creator_37623;id_creator_18308;id_creator_38996;id_creator_39814;id_creator_18311,,,,,137-149,,4,8,2008,,,id_journal_293,
id_work_5235,Elbe-Atlas des globalen Wandels,id_base_work,id_type_editied_book,,id_creator_42031;id_creator_41181;id_creator_41474,id_publisher_406,id_place_21,,,,,,2011,,,,
id_work_5236,Übersicht über das Elbeeinzugsgebiet,id_base_work,id_type_article_in_book,id_creator_41181,id_creator_42031;id_creator_41181;id_creator_40675,id_publisher_406,id_place_21,,20-21,Elbe-Atlas des globalen Wandels,,,2011,,,,
id_work_5237,Wasserbewirtschaftung,id_base_work,id_type_article_in_book,id_creator_41181;id_creator_31749,id_creator_42031;id_creator_41181;id_creator_41474,id_publisher_757,id_place_21,,38-39,Elbe-Atlas des globalen Wandels,,,2011,,,,
id_work_5238,Bewirtschaftete Abflüsse im Elbegebiet,id_base_work,id_type_article_in_book,id_creator_31749;id_creator_41181;id_creator_31751,id_creator_42031;id_creator_41181;id_creator_41474,id_publisher_406,id_place_21,,62-63,Elbe-Atlas des globalen Wandels,,,2011,,,,
id_work_5239,"Bergbau, Sanierung und Folgenutzung",id_base_work,id_type_article_in_book,id_creator_24339;id_creator_41181;id_creator_31749,id_creator_42031;id_creator_41181;id_creator_41474,id_publisher_406,id_place_21,,66-67,Elbe-Atlas des globalen Wandels,,,2011,,,,
id_work_5240,Thermische Großkraftwerke,id_base_work,id_type_article_in_book,id_creator_24866;id_creator_41181,id_creator_42031;id_creator_41181;id_creator_41474,id_publisher_406,id_place_21,,68-69,Elbe-Atlas des globalen Wandels,,,2011,,,,
id_work_5241,Wasserkraftanlagen,id_base_work,id_type_article_in_book,id_creator_24337;id_creator_41181,id_creator_42031;id_creator_41181;id_creator_41474,id_publisher_406,id_place_21,,70-71,Elbe-Atlas des globalen Wandels,,,2011,,,,
id_work_5242,Landwirtschaftliche Beregnung und Teichwirtschaft,id_base_work,id_type_article_in_book,id_creator_24339;id_creator_24337;id_creator_41181,id_creator_42031;id_creator_41181;id_creator_41474,id_publisher_406,id_place_21,,76-77,Elbe-Atlas des globalen Wandels,,,2011,,,,
id_work_5243,TDT: A Library for Typed Data Transfer,id_base_work,id_type_article_in_book,id_creator_18328,id_creator_40694;id_creator_40695;id_creator_40696,id_publisher_36,id_place_31,id_series_618,3-12,Earth System Modelling - Vol. 3. Coupling Software and Strategies,,,2012,,,,
id_work_5244,Habitability of super-Earth planets around main-sequence stars including red giant branch evolution: models based on the integrated system approach,id_base_work,id_type_isi_article,id_creator_34863;id_creator_25476;id_creator_18331;id_creator_18332;id_creator_37229,,,,,15-23,,1,11,2012,,,id_journal_304,
id_work_5245,Klimawandel und globale Umweltveränderungen,id_base_work,id_type_article_in_book,id_creator_41486,id_creator_42051,id_publisher_758,id_place_96,,692-720,Handbuch Umweltsoziologie,,,2011,,,,
id_work_5246,Sociological tasks in view of the transition to post-carbon societies. Also a comment to Michael Redclift,id_base_work,id_type_other_article,id_creator_41486,,,,,189-195,,3,1,2011,,id_keyword_1429,id_journal_750,
id_work_5247,"Hyderabad, India, Infrastructure and Adaptation Planning [Box 6.2]",id_base_work,id_type_article_in_book,id_creator_28631;id_creator_26037;id_creator_41486;id_creator_27681;id_creator_34419;id_creator_19920,id_creator_41702;id_creator_40699;id_creator_40700;id_creator_40701,id_publisher_13,id_place_13,,152-154,Climate Change and Cities,,,2011,,,,
id_work_5248,Understanding Potential Climate Change Impacts and Adaptation Options in Indian Megacities,id_base_work,id_type_article_in_book,id_creator_28631;id_creator_18343;id_creator_38223,id_creator_40702,id_publisher_36,id_place_25,id_series_575,15-34,Resilient Cities - Cities and Adaptation to Climate Change,,,2011,,,,
id_work_5249,How will organic carbon stocks in mineral soils evolve under future climate? Global projections using RothC for a range of climate change scenarios,id_base_work,id_type_other_article,id_creator_36310;id_creator_19514;id_creator_26489;id_creator_19516;id_creator_41542;id_creator_24016;id_creator_25535;id_creator_36332,,,,,411-451,,1,9,2012 (Online first),,,id_journal_751,
id_work_5250,"Why the United States Did Not Become A Party to the Kyoto Protocol: German, Norwegian, and US Perspectives",id_base_work,id_type_isi_article,id_creator_41661;id_creator_41854;id_creator_19726,,,,,,,1,18,2011,http://www.uni-potsdam.de/u/sprinz/doc/Hovi.2010.WhytheUnitedStatesDidNotBecomeaPartytotheKyotoProtocol.EJIR.pdf,,id_journal_681,
id_work_5251,Three-dimensional parameterizations of the synoptic scale kinetic energy and momentum flux in the Earth’s atmosphere,id_base_work,id_type_isi_article,id_creator_36972;id_creator_36372;id_creator_34002,,,,,807-827,,6,18,2011,,,id_journal_348,
id_work_5252,Control of delay-induced oscillation death by coupling phase in coupled oscillators,id_base_work,id_type_isi_article,id_creator_34383;id_creator_35517;id_creator_34308;id_creator_32680;id_creator_41659,,,,,,,066208,84,2011,,,id_journal_323,
id_work_5253,Multiobjective synchronization of coupled systems,id_base_work,id_type_isi_article,id_creator_34308;id_creator_35164;id_creator_22022;id_creator_41659;id_creator_22021,,,,,,,025114,21,2011,,,id_journal_543,
id_work_5254,Feedback learning particle swarm optimization,id_base_work,id_type_isi_article,id_creator_34308;id_creator_35164;id_creator_22021,,,,,4713-4725,,8,11,2011,,,id_journal_752,
id_work_5255,Exponential stability of stochastic differential delay systems with delayed impulse effects,id_base_work,id_type_isi_article,id_creator_36757;id_creator_19819;id_creator_37557;id_creator_34308,,,,,,,092702,52,2011,,,id_journal_753,
id_work_5256,Exponential cluster synchronization of impulsive delayed genetic oscillators with external disturbances,id_base_work,id_type_isi_article,id_creator_37557;id_creator_34308;id_creator_22021;id_creator_20658,,,,,,,043137,21,2011,http://chaos.aip.org/resource/1/chaoeh/v21/i4/p043137_s1?isAuthorized=no,,id_journal_543,
id_work_5257,Stochastic stability of Markovian jumping genetic regulatory networks with mixed time delays,id_base_work,id_type_isi_article,id_creator_37557;id_creator_22021;id_creator_34308,,,,,7210-7225,,17,217,2011,,,id_journal_224,
id_work_5258,New robust stability analysis for genetic regulatory networks with random discrete delays and distributed delays,id_base_work,id_type_isi_article,id_creator_37557;id_creator_22021;id_creator_34308,,,,,2344-2360,,14-15,74,2011,,,id_journal_754,
id_work_5259,Reframing the Problem of Climate Change,id_base_work,id_type_editied_book,,id_creator_40703;id_creator_40704;id_creator_40705;id_creator_40706;id_creator_40707,id_publisher_122,id_place_48,,,,,,2012,,,,
id_work_5260,Linking components of vulnerability in theoretic frameworks and case studies,id_base_work,id_type_isi_article,id_creator_35074;id_creator_40203,,,,,1-9,,1,8,2013,,,id_journal_477,
id_work_5261,Challenges for land system science,id_base_work,id_type_isi_article,id_creator_18388;id_creator_19270;id_creator_34602;id_creator_19272;id_creator_19273;id_creator_41925;id_creator_19275;id_creator_22725;id_creator_19277;id_creator_41298;id_creator_40970;id_creator_21758;id_creator_19281;id_creator_36908;id_creator_30573;id_creator_19457;id_creator_19285;id_creator_32347;id_creator_30585,,,,,899-910,,4,29,2012,,,id_journal_682,
id_work_5262,Basic physical mechanisms for monsoon failure in past and future climate,id_base_work,id_type_thesis,id_creator_35820,,,,,,,,,2011,,,,
id_work_5263,Fracture field for large-scale ice dynamics,id_base_work,id_type_isi_article,id_creator_36123;id_creator_36366,,,,,165-176,,207,58,2012,,,id_journal_372,
id_work_5264,Using meta-analysis and GIS for value transfer and scaling up: valuing climate change induced losses of European wetlands,id_base_work,id_type_isi_article,id_creator_18410;id_creator_27478;id_creator_18412;id_creator_18413;id_creator_18414;id_creator_18415;id_creator_18416;id_creator_18417;id_creator_18418;id_creator_18419;id_creator_18420,,,,,395-413,,3,52,2012,,,id_journal_129,
id_work_5265,Modeling the impacts of climate change on nitrogen retention in a 4th order stream,id_base_work,id_type_isi_article,id_creator_18431;id_creator_34963;id_creator_40723;id_creator_39158,,,,,981-999,,3-4,113,2012,,,id_journal_15,
