id,label,id_prop_instance_of,id_prop_author,id_prop_editor,id_prop_publisher,id_prop_place_of_publication,id_prop_part_of_the_series,id_prop_number_of_pages,id_prop_publication_date,id_prop_main_subject,id_prop_published_in,id_prop_issue,id_prop_volume
id_work_5187,Conservation: limits of land sparing,id_base_article,id_creator_5172;id_creator_6856;id_creator_9290;id_creator_4341;id_creator_8357;id_creator_3277;id_creator_4394;id_creator_4173;id_creator_1873;id_creator_2526;id_creator_1798;id_creator_9545;id_creator_2035;id_creator_8272;id_creator_3149;id_creator_5324;id_creator_5725;id_creator_6424;id_creator_2871;id_creator_4987;id_creator_8350,,,,,593-593,2011,,id_journal_130,6056,334
id_work_5188,Rapid land use change after socio-economic disturbances: the collapse of the Soviet Union versus Chernobyl,id_base_article,id_creator_8371;id_creator_2035;id_creator_1383;id_creator_7453;id_creator_9772;id_creator_9561,,,,,,2011,,id_journal_493,045201,6
id_work_5190,Impacts of surface gold mining on land use systems in Western Ghana,id_base_article,id_creator_3651;id_creator_3023;id_creator_5073,,,,,528-539,2011,,id_journal_125,5,40
id_work_5191,Carbon implications of forest restitution in post-socialist Romania,id_base_article,id_creator_8302;id_creator_2035;id_creator_9012;id_creator_3636;id_creator_9670;id_creator_5175;id_creator_5784;id_creator_10144;id_creator_1708;id_creator_1393,,,,,,2011,,id_journal_493,045202,6
id_work_5192,Differences in Landsat-based trend analyses in drylands due to the choice of vegetation estimate,id_base_article,id_creator_4605;id_creator_2035;id_creator_6154;id_creator_164;id_creator_8371,,,,,1408-1420,2011,,id_journal_84,6,115
id_work_5193,Patterns and drivers of post-socialist farmland abandonment in Western Ukraine,id_base_article,id_creator_2323;id_creator_2035;id_creator_2845;id_creator_1310;id_creator_9561;id_creator_7021;id_creator_7355;id_creator_3408;id_creator_8371,,,,,552-562,2011,,id_journal_736,3,28
id_work_5195,Cost-effectiveness of different conservation strategies to establish a European bison metapopulation in the Carpathians,id_base_article,id_creator_2035;id_creator_6837;id_creator_4924;id_creator_1477;id_creator_3935;id_creator_7422;id_creator_6158;id_creator_1428;id_creator_9561,,,,,317-329,2011,,id_journal_672,2,48
id_work_5197,The geometry of chaotic dynamics - a complex network perspective,id_base_article,id_creator_9307;id_creator_11463;id_creator_8377;id_creator_1510;id_creator_11718;id_creator_11047,,,,,653-672,2011,,id_journal_694,4,84
id_work_5198,A functional framework for agent-based models of exchange,id_base_article,id_creator_458;id_creator_6370;id_creator_2126;id_creator_161;id_creator_1380;id_creator_7247;id_creator_5159,,,,,4025-4040,2011,,id_journal_222,8,218
id_work_5199,Case Study North Rhine-Westphalia (NRW),id_base_report,id_creator_6897;id_creator_11044;id_creator_8542;id_creator_620;id_creator_610;id_creator_7568,,id_publisher_613,id_place_42,id_series_608,,2011,,,,
